PitchNumber,CandidatePitchType,Ball,Hit,Strike,Undefined,Walk,BestStrikePotential,PitcherId,BatterId
6,0.7136097717652264,10.11,77.67,8.17,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
6,0.8158066848007647,10.11,77.67,8.17,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
6,0.7214124153833273,10.11,77.67,8.17,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
6,0.7558855999552191,10.11,77.67,8.17,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
6,0.7216967893772162,10.11,77.67,8.17,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
7,0.7136097717652264,10.12,77.67,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
7,0.6989457217909218,10.12,77.67,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
7,0.7558855999552191,10.12,77.67,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
7,0.8158066848007647,10.12,77.67,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
7,0.7216967893772162,10.12,77.67,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
7,0.7214124153833273,10.12,77.67,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
8,0.7558855999552191,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
8,0.7216967893772162,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
8,0.7136097717652264,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
8,0.6989457217909218,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
8,0.8158066848007647,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
8,0.7214124153833273,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
9,0.7214124153833273,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
9,0.7216967893772162,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
9,0.7136097717652264,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
9,0.7558855999552191,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
9,0.6989457217909218,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
9,0.8158066848007647,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
10,0.6989457217909218,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
10,0.7216967893772162,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
10,0.8158066848007647,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
10,0.7214124153833273,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
10,0.7558855999552191,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
10,0.7136097717652264,10.12,77.66,8.18,3.15,0.9,0.7214124153833273,1000066910.0,1000032366.0
