PitchNumber,CumulativeStrikePct,Ball,Hit,Strike,Undefined,Walk,CandidatePitchType,PitcherId,BatterId,BestStrikePotential
7,35.18,1.58,82.81,9.75,2.95,2.91,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
8,38.18,1.61,83.46,9.28,2.9,2.75,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
9,40.92,1.64,84.03,8.87,2.84,2.62,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
10,43.43,1.68,84.53,8.5,2.8,2.5,0.6989457217909218,1000066910.0,1000032366.0,0.6989457217909218
1,7.34,1.37,75.79,14.68,3.51,4.65,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
2,13.54,1.41,77.68,13.37,3.37,4.17,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
3,18.86,1.44,79.2,12.31,3.26,3.79,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
4,23.5,1.48,80.45,11.44,3.16,3.48,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
5,27.6,1.52,81.48,10.71,3.07,3.23,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
6,31.25,1.56,82.35,10.09,2.99,3.02,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
7,34.53,1.59,83.09,9.56,2.93,2.84,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
8,37.51,1.63,83.72,9.09,2.87,2.69,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
9,40.23,1.66,84.27,8.69,2.82,2.55,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
10,42.72,1.69,84.76,8.34,2.77,2.44,0.7216967893772162,1000066910.0,1000032366.0,0.6989457217909218
1,7.07,1.38,76.59,14.14,3.45,4.43,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
2,13.07,1.42,78.37,12.9,3.32,3.98,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
3,18.24,1.46,79.81,11.9,3.2,3.62,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
4,22.76,1.5,80.99,11.06,3.11,3.33,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
5,26.77,1.54,81.97,10.37,3.02,3.1,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
6,30.34,1.58,82.8,9.77,2.95,2.9,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
7,33.57,1.62,83.5,9.26,2.89,2.73,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
8,36.5,1.65,84.11,8.82,2.83,2.59,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
9,39.18,1.69,84.63,8.44,2.78,2.46,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
10,41.64,1.72,85.09,8.09,2.74,2.35,0.7558855999552191,1000066910.0,1000032366.0,0.6989457217909218
1,7.4,1.36,75.6,14.81,3.53,4.7,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
2,13.65,1.4,77.51,13.49,3.39,4.21,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
3,19.01,1.44,79.05,12.41,3.27,3.82,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
4,23.68,1.48,80.31,11.53,3.17,3.51,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
5,27.79,1.51,81.36,10.79,3.08,3.26,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
6,31.46,1.55,82.24,10.16,3.0,3.04,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
7,34.76,1.59,82.99,9.62,2.94,2.86,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
8,37.75,1.62,83.63,9.16,2.88,2.71,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
9,40.47,1.65,84.19,8.75,2.83,2.58,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
10,42.97,1.69,84.68,8.39,2.78,2.46,0.7136097717652264,1000066910.0,1000032366.0,0.6989457217909218
