PitchType,Ball,Hit,Strike,Undefined,Walk,PitcherId,BatterId,PitchNumber,RecommendedPitch
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,8,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,9,TwoSeamFastBall
TwoSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
Slider,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
ChangeUp,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
Fastball,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
FourSeamFastBall,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
Sinker,16.66,50.0,33.33,0.0,0.0,1000066910.0,1000032366.0,10,TwoSeamFastBall
