PitchType,BallCalled,BallIntentional,BallinDirt,FoulBall,FoulBallFieldable,FoulBallNotFieldable,HitByPitch,InPlay,StrikeCalled,StrikeSwinging,Undefined,PitcherId,BatterId,PitchNumber,RecommendedPitch
Fastball,37.58,0.03,2.77,0.0,0.13,14.6,0.28,20.11,17.03,7.47,0.0,1000052367,815152,5,Slider
Cutter,37.59,0.03,2.77,0.0,0.13,14.62,0.28,20.11,16.98,7.49,0.0,1000052367,815152,5,Slider
Four-Seam,37.56,0.03,2.77,0.0,0.13,14.59,0.28,20.11,17.07,7.45,0.0,1000052367,815152,6,Slider
Sinker,37.5,0.03,2.75,0.0,0.12,14.51,0.29,20.11,17.34,7.34,0.0,1000052367,815152,6,Slider
Curveball,37.6,0.03,2.78,0.0,0.13,14.63,0.28,20.11,16.94,7.5,0.0,1000052367,815152,6,Slider
Slider,37.49,0.03,2.74,0.0,0.12,14.49,0.29,20.11,17.38,7.32,0.0,1000052367,815152,6,Slider
Changeup,37.61,0.03,2.78,0.0,0.13,14.64,0.28,20.11,16.89,7.52,0.0,1000052367,815152,6,Slider
ChangeUp,37.62,0.03,2.78,0.0,0.13,14.65,0.27,20.11,16.85,7.54,0.0,1000052367,815152,6,Slider
Fastball,37.58,0.03,2.77,0.0,0.13,14.6,0.28,20.11,17.03,7.47,0.0,1000052367,815152,6,Slider
Cutter,37.59,0.03,2.77,0.0,0.13,14.62,0.28,20.11,16.98,7.49,0.0,1000052367,815152,6,Slider
Four-Seam,37.56,0.03,2.77,0.0,0.13,14.59,0.28,20.11,17.07,7.45,0.0,1000052367,815152,7,Slider
Sinker,37.5,0.03,2.75,0.0,0.12,14.51,0.29,20.11,17.34,7.34,0.0,1000052367,815152,7,Slider
Curveball,37.6,0.03,2.78,0.0,0.13,14.63,0.28,20.11,16.94,7.5,0.0,1000052367,815152,7,Slider
Slider,37.49,0.03,2.74,0.0,0.12,14.49,0.29,20.11,17.38,7.32,0.0,1000052367,815152,7,Slider
Changeup,37.61,0.03,2.78,0.0,0.13,14.64,0.28,20.11,16.89,7.52,0.0,1000052367,815152,7,Slider
ChangeUp,37.62,0.03,2.78,0.0,0.13,14.65,0.27,20.11,16.85,7.54,0.0,1000052367,815152,7,Slider
Fastball,37.58,0.03,2.77,0.0,0.13,14.6,0.28,20.11,17.03,7.47,0.0,1000052367,815152,7,Slider
Cutter,37.59,0.03,2.77,0.0,0.13,14.62,0.28,20.11,16.98,7.49,0.0,1000052367,815152,7,Slider
Four-Seam,37.56,0.03,2.77,0.0,0.13,14.59,0.28,20.11,17.07,7.45,0.0,1000052367,815152,8,Slider
Sinker,37.5,0.03,2.75,0.0,0.12,14.51,0.29,20.11,17.34,7.34,0.0,1000052367,815152,8,Slider
Curveball,37.6,0.03,2.78,0.0,0.13,14.63,0.28,20.11,16.94,7.5,0.0,1000052367,815152,8,Slider
Slider,37.49,0.03,2.74,0.0,0.12,14.49,0.29,20.11,17.38,7.32,0.0,1000052367,815152,8,Slider
Changeup,37.61,0.03,2.78,0.0,0.13,14.64,0.28,20.11,16.89,7.52,0.0,1000052367,815152,8,Slider
ChangeUp,37.62,0.03,2.78,0.0,0.13,14.65,0.27,20.11,16.85,7.54,0.0,1000052367,815152,8,Slider
Fastball,37.58,0.03,2.77,0.0,0.13,14.6,0.28,20.11,17.03,7.47,0.0,1000052367,815152,8,Slider
Cutter,37.59,0.03,2.77,0.0,0.13,14.62,0.28,20.11,16.98,7.49,0.0,1000052367,815152,8,Slider
Four-Seam,37.56,0.03,2.77,0.0,0.13,14.59,0.28,20.11,17.07,7.45,0.0,1000052367,815152,9,Slider
Sinker,37.5,0.03,2.75,0.0,0.12,14.51,0.29,20.11,17.34,7.34,0.0,1000052367,815152,9,Slider
Curveball,37.6,0.03,2.78,0.0,0.13,14.63,0.28,20.11,16.94,7.5,0.0,1000052367,815152,9,Slider
Slider,37.49,0.03,2.74,0.0,0.12,14.49,0.29,20.11,17.38,7.32,0.0,1000052367,815152,9,Slider
Changeup,37.61,0.03,2.78,0.0,0.13,14.64,0.28,20.11,16.89,7.52,0.0,1000052367,815152,9,Slider
ChangeUp,37.62,0.03,2.78,0.0,0.13,14.65,0.27,20.11,16.85,7.54,0.0,1000052367,815152,9,Slider
Fastball,37.58,0.03,2.77,0.0,0.13,14.6,0.28,20.11,17.03,7.47,0.0,1000052367,815152,9,Slider
Cutter,37.59,0.03,2.77,0.0,0.13,14.62,0.28,20.11,16.98,7.49,0.0,1000052367,815152,9,Slider
Four-Seam,37.56,0.03,2.77,0.0,0.13,14.59,0.28,20.11,17.07,7.45,0.0,1000052367,815152,10,Slider
Sinker,37.5,0.03,2.75,0.0,0.12,14.51,0.29,20.11,17.34,7.34,0.0,1000052367,815152,10,Slider
Curveball,37.6,0.03,2.78,0.0,0.13,14.63,0.28,20.11,16.94,7.5,0.0,1000052367,815152,10,Slider
Slider,37.49,0.03,2.74,0.0,0.12,14.49,0.29,20.11,17.38,7.32,0.0,1000052367,815152,10,Slider
Changeup,37.61,0.03,2.78,0.0,0.13,14.64,0.28,20.11,16.89,7.52,0.0,1000052367,815152,10,Slider
ChangeUp,37.62,0.03,2.78,0.0,0.13,14.65,0.27,20.11,16.85,7.54,0.0,1000052367,815152,10,Slider
Fastball,37.58,0.03,2.77,0.0,0.13,14.6,0.28,20.11,17.03,7.47,0.0,1000052367,815152,10,Slider
Cutter,37.59,0.03,2.77,0.0,0.13,14.62,0.28,20.11,16.98,7.49,0.0,1000052367,815152,10,Slider
