PitchType,BallCalled,BallIntentional,BallinDirt,FoulBall,FoulBallFieldable,FoulBallNotFieldable,HitByPitch,InPlay,StrikeCalled,StrikeSwinging,Undefined,PitcherId,BatterId,PitchNumber,RecommendedPitch
Sinker,13.21,0.01,3.43,0.0,0.23,16.34,0.01,12.5,27.84,26.43,0.0,1000052367,681236,8,Slider
Curveball,12.69,0.01,3.75,0.0,0.24,16.91,0.01,12.5,26.82,27.06,0.0,1000052367,681236,8,Slider
Slider,13.26,0.01,3.4,0.0,0.23,16.27,0.01,12.5,27.97,26.36,0.0,1000052367,681236,8,Slider
Changeup,12.63,0.01,3.79,0.0,0.24,16.97,0.01,12.5,26.73,27.12,0.0,1000052367,681236,8,Slider
ChangeUp,12.57,0.01,3.83,0.0,0.24,17.02,0.01,12.5,26.64,27.17,0.0,1000052367,681236,8,Slider
Fastball,12.81,0.01,3.67,0.0,0.24,16.8,0.01,12.5,27.02,26.93,0.0,1000052367,681236,8,Slider
Cutter,12.75,0.01,3.71,0.0,0.24,16.86,0.01,12.5,26.92,26.99,0.0,1000052367,681236,8,Slider
Four-Seam,12.87,0.01,3.64,0.0,0.24,16.74,0.01,12.5,27.13,26.86,0.0,1000052367,681236,9,Slider
Sinker,13.21,0.01,3.43,0.0,0.23,16.34,0.01,12.5,27.84,26.43,0.0,1000052367,681236,9,Slider
Curveball,12.69,0.01,3.75,0.0,0.24,16.91,0.01,12.5,26.82,27.06,0.0,1000052367,681236,9,Slider
Slider,13.26,0.01,3.4,0.0,0.23,16.27,0.01,12.5,27.97,26.36,0.0,1000052367,681236,9,Slider
Changeup,12.63,0.01,3.79,0.0,0.24,16.97,0.01,12.5,26.73,27.12,0.0,1000052367,681236,9,Slider
ChangeUp,12.57,0.01,3.83,0.0,0.24,17.02,0.01,12.5,26.64,27.17,0.0,1000052367,681236,9,Slider
Fastball,12.81,0.01,3.67,0.0,0.24,16.8,0.01,12.5,27.02,26.93,0.0,1000052367,681236,9,Slider
Cutter,12.75,0.01,3.71,0.0,0.24,16.86,0.01,12.5,26.92,26.99,0.0,1000052367,681236,9,Slider
Four-Seam,12.87,0.01,3.64,0.0,0.24,16.74,0.01,12.5,27.13,26.86,0.0,1000052367,681236,10,Slider
Sinker,13.21,0.01,3.43,0.0,0.23,16.34,0.01,12.5,27.84,26.43,0.0,1000052367,681236,10,Slider
Curveball,12.69,0.01,3.75,0.0,0.24,16.91,0.01,12.5,26.82,27.06,0.0,1000052367,681236,10,Slider
Slider,13.26,0.01,3.4,0.0,0.23,16.27,0.01,12.5,27.97,26.36,0.0,1000052367,681236,10,Slider
Changeup,12.63,0.01,3.79,0.0,0.24,16.97,0.01,12.5,26.73,27.12,0.0,1000052367,681236,10,Slider
ChangeUp,12.57,0.01,3.83,0.0,0.24,17.02,0.01,12.5,26.64,27.17,0.0,1000052367,681236,10,Slider
Fastball,12.81,0.01,3.67,0.0,0.24,16.8,0.01,12.5,27.02,26.93,0.0,1000052367,681236,10,Slider
Cutter,12.75,0.01,3.71,0.0,0.24,16.86,0.01,12.5,26.92,26.99,0.0,1000052367,681236,10,Slider
